店家名,地區,地址,緯度,經度,連結
O.H海歸潛水,屏東縣,946屏東縣恆春鎮仁壽路141-15號,22.02591632,120.7372004,
Lidaodive麗島潛水-墾丁,屏東縣,946屏東縣恆春鎮省北路390號,22.02138271,120.7439271,
墾丁GO Diving趣潛水&寧靜的家3館,屏東縣,946屏東縣恆春鎮大埔路16-50號,22.01903734,120.7384539,
Tec Only Kenting Diving Center,屏東縣,946屏東縣恆春鎮興北路中興巷72號,22.00912078,120.7258452,
墾丁自由潛水 Freedive Kenting,屏東縣,946屏東縣恆春鎮德和路160巷1弄19號,21.99788808,120.7276139,
海水正藍Ocean Blueming,屏東縣,946屏東縣恆春鎮草埔路57巷５之１號,22.01004812,120.7351981,
藍色海洋潛水訓練中心,屏東縣,946屏東縣恆春鎮恆公路967號,22.00892873,120.7404355,
酷達潛水中心 Kuta Dive,屏東縣,946屏東縣恆春鎮恆公路965號,22.00866184,120.7403649,
有潛生活 潛水訓練中心,屏東縣,946屏東縣恆春鎮恆公路1012巷二弄1號,22.00988024,120.7425523,
墾丁海世界潛水 OceanWorld Diving Center,屏東縣,94645屏東縣恆春鎮省北路1巷3弄26號,22.00989268,120.7425644,
墾丁環礁潛水中心,屏東縣,946屏東縣恆春鎮鎮復興路112巷48號,22.00747802,120.7424046,
Okeano Free Dive漁生自由潛水教室3.0,屏東縣,946屏東縣恆春鎮中正路232巷43號,22.00688662,120.7445134,
簡單潛水,屏東縣,946屏東縣恆春鎮恆北路86-17號,22.01025723,120.7492454,
潛藍Liyal,屏東縣,946010屏東縣恆春鎮恆北路88號之18,22.00913923,120.7501964,
嶼海tu?-h?i,屏東縣,946屏東縣恆春鎮中正路232巷147弄26號,22.00880423,120.7461876,
Divingmind潛意識恆春分部,屏東縣,946屏東縣恆春鎮環城北路217之2號,22.00945487,120.7450703,
悠樂趣潛水俱樂部,屏東縣,946屏東縣恆春鎮西門路25號,22.00616225,120.7430348,
奇怪教練自由潛水教室 Weirdo Freediving,屏東縣,946屏東縣恆春鎮西門路23巷9號,22.00592754,120.7427499,
SEACHANGER正式自由,屏東縣,946屏東縣恆春鎮恆北路86號-13號,22.00982115,120.7493381,
墾丁．就是要潛水,屏東縣,946屏東縣恆春鎮北門路42巷21弄5號,22.00577478,120.7480574,
醉初自由潛水,屏東縣,946屏東縣恆春鎮北門路42巷21弄3號,22.00499913,120.7480542,
潛水部落 D Dive Center,屏東縣,946屏東縣恆春鎮山腳路100-1號,22.00413634,120.7515993,
浪影 surfilms 背包旅宿,屏東縣,946屏東縣恆春鎮北門路39巷9號,22.00436404,120.7467812,
暖洋潛水旅宿 Wonder Ocean Dive Hostel,屏東縣,946屏東縣恆春鎮光明路48巷8號,22.00202293,120.7442026,
「墾丁美人魚學校」GirlDive-Mermaid,屏東縣,946屏東縣恆春鎮恆西路33巷42號,22.00125827,120.7410314,
海島瘋３號店－薄荷小日子旅宿Days In Bohol,屏東縣,946屏東縣恆春鎮恆公路676號,22.00113863,120.7400964,
鯊墾丁潛水旅店 Sharkenting Dive Center,屏東縣,946屏東縣恆春鎮恆西路33巷123弄5號,21.99999014,120.7422788,
魚人族自由潛水Fishman,屏東縣,946屏東縣恆春鎮恆公路372-1號,21.99891137,120.7413861,
墾丁Go Diving 趣潛水恒春背包客棧,屏東縣,94641屏東縣恆春鎮恒南路231號,22.00034986,120.7445199,
貓魚小窩,屏東縣,946屏東縣恆春鎮環城南路135巷5號,21.99922369,120.7459094,
半島海人,屏東縣,946屏東縣恆春鎮山腳路39之16號,21.99846267,120.7539119,
帶福新樂園潛水中心,屏東縣,946屏東縣恆春鎮恆南路2巷2弄24號,21.99487597,120.7465153,
綠豆人國際潛水中心,屏東縣,946屏東縣恆春鎮恆公路156號,21.99622177,120.7431783,
OneDay Freediving 找一天自由潛水工作室,屏東縣,946屏東縣恆春鎮恆南路117巷11弄3號,21.99626744,120.7446956,
珊瑚生活coral’s life,屏東縣,946屏東縣恆春鎮恆南路117巷47號,21.99603546,120.7436974,
深藍實驗室 Dark Blue Lab,屏東縣,946屏東縣恆春鎮恆南路117巷64號,21.99550279,120.7446868,
水采田潛水酒吧民宿,屏東縣,946屏東縣恆春鎮福城街66號,21.99779368,120.7468114,
BENEATH Dive Club 水下俱樂部,屏東縣,946屏東縣恆春鎮恒南路12巷6號,21.99037159,120.7482602,
墾丁自由潛水 Freedive Kenting,屏東縣,946屏東縣恆春鎮德和路160巷1弄19號,21.99789218,120.7276212,
恆春海豚潛水,屏東縣,946屏東縣恆春鎮糠林南路460號,21.99732811,120.7310266,
海洋白日夢自由潛水,屏東縣,946屏東縣恆春鎮糠林南路250-1號,21.99349902,120.7322611,
海私塾潛水中心,屏東縣,946屏東縣恆春鎮糠林南路56巷35弄9號,21.99020313,120.7330729,
Hi Manta 自由潛水,屏東縣,946屏東縣恆春鎮恒南路29之2號,21.99174488,120.7470005,
騏艦藍海灣&潛水度假村,屏東縣,94646屏東縣恆春鎮龍泉路63號1樓,21.98774393,120.7370634,
潛水萬歲 Diving Forever,屏東縣,946屏東縣恆春鎮龍泉路112巷3號,21.98574429,120.7308161,
penny愛潛水,屏東縣,946屏東縣恆春鎮萬里路7-3號,21.99682135,120.7054134,
水到魚行浮潛館,屏東縣,946屏東縣恆春鎮萬里路24-6號,21.99634275,120.7048871,
萬里桐浮潛中心,屏東縣,946屏東縣恆春鎮萬里路14-3號,21.99576608,120.7067502,
山海潛水,屏東縣,946屏東縣恆春鎮山海里山海路78-7號,21.98442149,120.7136481,
海潮潛水 Tide Dive,屏東縣,946屏東縣恆春鎮龍泉路188號,21.98450507,120.7289448,
深度潛水Deep Dive Center?,屏東縣,946屏東縣恆春鎮龍泉路246巷6號,21.98189973,120.7290439,
二級頭潛水站,屏東縣,946屏東縣恆春鎮檳榔路2-3號,21.97464029,120.7315014,
Hi D-Diving海底潛水,屏東縣,946屏東縣恆春鎮西潭路83巷3號,21.96837421,120.7330734,
羅浮國際潛水中心DIWA教練課程發展中心,屏東縣,946屏東縣恆春鎮砂尾路75號,21.95660543,120.7292435,
PsychoDive自由潛水店,屏東縣,946屏東縣恆春鎮樹林路49-2號,21.95154037,120.7220299,
必見水潛水 Pink House Diving,屏東縣,946屏東縣恆春鎮樹林路42之1號,21.94992477,120.7220938,
心海潛水中心 & SUP,屏東縣,946005屏東縣恆春鎮砂尾路32-1號,21.95903945,120.7395129,
TIAMAT? Diving Club × 苦水輕旅,屏東縣,94645屏東縣恆春鎮砂尾路26號,21.95819405,120.7381062,
祥瑞潛水,屏東縣,946屏東縣恆春鎮大光里砂尾路17-6號,21.95291098,120.7380132,
放呆潛水俱樂部Fun Dive Club,屏東縣,946屏東縣恆春鎮砂尾路55-5號,21.95245875,120.7374906,
PureBlueDive,屏東縣,946屏東縣恆春鎮大光路10號,21.95056007,120.7412669,
La Sea Dive - 樂灣潛水,屏東縣,946屏東縣恆春鎮大光路28號,21.95018708,120.7399679,
墾丁海陸仔體驗潛水,屏東縣,946屏東縣恆春鎮大光路36號,21.94947122,120.7384498,
阿yao潛水趣,屏東縣,946屏東縣恆春鎮大光路48之3號,21.94912352,120.7388112,
WoW Dive 渥潛水,屏東縣,946屏東縣恆春鎮大光路47號946,21.94913998,120.7390466,
好好潛水 GOOD DIVE,屏東縣,946屏東縣恆春鎮大光路95號,21.94810092,120.7404743,
潛龍墾丁潛水中心,屏東縣,946屏東縣恆春鎮大光路97之6號,21.94757882,120.7399746,
CTdiver 墾丁PADI潛水中心,屏東縣,946屏東縣恆春鎮大光路85-5號,21.94797171,120.7410326,
E哥潛水休閒會館,屏東縣,946屏東縣恆春鎮大光路115-13號,21.94666186,120.7397882,
台客潛水TK.Diving,屏東縣,946屏東縣恆春鎮大光路56-55號,21.94642543,120.7340795,
深呼吸潛水渡假民宿 Azure Journey Dive & Villa,屏東縣,946屏東縣恆春鎮大光路120號-3號,21.94574971,120.7388954,
台客＋,屏東縣,946屏東縣恆春鎮大光路123-9號,21.94471614,120.7395381,
南青潛水 DivePro,屏東縣,946屏東縣恆春鎮大光路79-45號,21.94577715,120.7424439,
墾丁安可浮潛,屏東縣,946屏東縣恆春鎮大光路79-32號,21.94565127,120.7425617,
泡泡隆潛水,屏東縣,946屏東縣恆春鎮大光路79-49號,21.94477882,120.7428344,
墾丁舒服潛水,屏東縣,946屏東縣恆春鎮大光路79-49號,21.94471662,120.7428546,
台灣潛水墾丁店,屏東縣,946屏東縣恆春鎮大光路55-60號,21.94309189,120.7363595,
藍洞潛水Blue Hole Dive Center,屏東縣,946屏東縣恆春鎮大光路128-12號,21.94135213,120.7371167,
徜洋潛水訓練中心,屏東縣,94646屏東縣恆春鎮大光路138-8號,21.93829138,120.7351533,
鯨目自由潛水,屏東縣,946屏東縣恆春鎮大光路138-2號,21.93743882,120.7335715,
光合樂潛水度假中心,屏東縣,946屏東縣恆春鎮大光路138之36號,21.93630504,120.7345034,
墾丁南灣小浪花,屏東縣,946屏東縣恆春鎮大光路140-5號,21.93510059,120.7316745,
啊娃潛水 ? WaWa Dive Club ?,屏東縣,946屏東縣恆春鎮下泉路7-7號,21.93189485,120.7309783,
活力潛水中心,屏東縣,946屏東縣恆春鎮下泉路44號墾丁國家公園,21.92886704,120.7331563,
Drifters' Diving Club 浪兒潛水俱樂部,屏東縣,946屏東縣恆春鎮下泉路66-2號,21.92800637,120.7321924,
三鮫貓潛水,屏東縣,946006屏東縣恆春鎮下泉路47-2號,21.92861903,120.7327842,
南勇浮潛企業社,屏東縣,946屏東縣恆春鎮大光路79-56號,21.94248158,120.7431704,
HDK旱鴨子自由潛水(HanDucK),屏東縣,946屏東縣恆春鎮墾丁路通海巷195號,21.94490758,120.7979983,
自立潛水,屏東縣,946屏東縣恆春鎮船帆路842號,21.93566407,120.8226125,
野人日記~澎湖南方四島/七美/無人島探險/海露、Sup浮潛/自潛澎湖90群島探險潛旅、自由潛水、私人潛導,澎湖縣, 881澎湖縣西嶼鄉內垵村,23.57384054,119.5054569,
PIDC亞果國際潛水中心,澎湖縣,880澎湖縣馬公市?裡360號,23.5290444,119.5541421,
